curriculum_code,track_name,course_code,year_level,semester
BS_CPE_2018,Cybersecurity,CPE 209,,
BS_CPE_2018,Cybersecurity,CPE 315,,
BS_CPE_2018,Cybersecurity,CPE 320,,
BS_CPE_2018,Data Science,COE 003,,
BS_CPE_2018,Data Science,COE 004,,
BS_CPE_2018,Data Science,COE 005,,
BS_CPE_2018,Railway Engineering,RWE 001,,
BS_CPE_2018,Railway Engineering,RWE 002A,,
BS_CPE_2018,Railway Engineering,RWE 003A,,
BS_CPE_2018,Robotics,CPE 331A,,
BS_CPE_2018,Robotics,CPE 332,,
BS_CPE_2018,Robotics,CPE 343,,
BS_CPE_2018,Systems Administration,CPE 207,,
BS_CPE_2018,Systems Administration,CPE 307,,
BS_CPE_2018,Systems Administration,CPE 312,,
BS_CPE_2018,Technopreneurship,TECH 102,,
BS_CPE_2018,Technopreneurship,TECH 103,,
BS_CPE_2018,Technopreneurship,TECH 104,,
BS_CPE_2023,Cyber-Physical Systems,CPE 331B,,
BS_CPE_2023,Cyber-Physical Systems,CPE 332B,,
BS_CPE_2023,Cyber-Physical Systems,CPE 343C,,
BS_CPE_2023,Cybersecurity,CPE 209,,
BS_CPE_2023,Cybersecurity,CPE 315,,
BS_CPE_2023,Cybersecurity,CPE 320,,
BS_CPE_2023,Data Science,COE 003,,
BS_CPE_2023,Data Science,COE 004A,,
BS_CPE_2023,Data Science,COE 005A,,
BS_CPE_2023,Railway Engineering,RWE 001,,
BS_CPE_2023,Railway Engineering,RWE 002A,,
BS_CPE_2023,Railway Engineering,RWE 003A,,
BS_CPE_2023,Systems Administration,CPE 207A,,
BS_CPE_2023,Systems Administration,CPE 307B,,
BS_CPE_2023,Systems Administration,CPE 312B,,
BS_CPE_2025,Cyber-Physical Systems,CPE 331B,,
BS_CPE_2025,Cyber-Physical Systems,CPE 332B,,
BS_CPE_2025,Cyber-Physical Systems,CPE 343C,,
BS_CPE_2025,Cybersecurity,CPE 209,,
BS_CPE_2025,Cybersecurity,CPE 315,,
BS_CPE_2025,Cybersecurity,CPE 320,,
BS_CPE_2025,Data Science,COE 003,,
BS_CPE_2025,Data Science,COE 004A,,
BS_CPE_2025,Data Science,COE 005A,,
BS_CPE_2025,Railway Engineering,RWE 001,,
BS_CPE_2025,Railway Engineering,RWE 002A,,
BS_CPE_2025,Railway Engineering,RWE 003A,,
BS_CPE_2025,Systems Administration,CPE 207A,,
BS_CPE_2025,Systems Administration,CPE 307B,,
BS_CPE_2025,Systems Administration,CPE 312B,,
