curriculum_code,track_name,description
BS_CPE_2018,Cybersecurity,
BS_CPE_2018,Data Science,
BS_CPE_2018,Railway Engineering,
BS_CPE_2018,Robotics,
BS_CPE_2018,Systems Administration,
BS_CPE_2018,Technopreneurship,
BS_CPE_2023,Cyber-Physical Systems,
BS_CPE_2023,Cybersecurity,
BS_CPE_2023,Data Science,
BS_CPE_2023,Railway Engineering,
BS_CPE_2023,Systems Administration,
BS_CPE_2025,Cyber-Physical Systems,
BS_CPE_2025,Cybersecurity,
BS_CPE_2025,Data Science,
BS_CPE_2025,Railway Engineering,
BS_CPE_2025,Systems Administration,
